Id EstimatedSalary Exited
1 112542.58 0
2 113931.57 1
3 93826.63 0
4 79084.10 0
5 149756.71 1
6 10062.80 0
7 119346.88 1
8 74940.50 0
9 71725.73 0
10 80181.12 0
11 76390.01 0
12 26260.98 0
13 190857.79 0
14 65951.65 0
15 64327.26 0
16 5097.67 1
17 14406.41 0
18 158684.81 0
19 54724.03 0
20 170886.17 0
21 138555.46 0
22 118913.53 1
23 8487.75 0
24 187616.16 0
25 124508.29 0
26 170041.95 0
27 38433.35 0
28 100187.43 0
29 53483.21 0
30 140469.38 1
31 156731.91 0
32 81898.81 0
33 34410.55 0
34 142033.07 0
35 27822.99 1
36 114066.77 0
37 98453.45 0
38 40812.90 0
39 178074.04 0
40 70154.22 0
41 181297.65 1
42 94153.83 0
43 194365.76 1
44 158338.39 0
45 126517.46 0
46 119708.21 1
47 117622.80 1
48 90878.13 0
49 194099.12 0
50 101348.88 1
51 60739.16 0
52 118570.53 0
53 97057.28 0
54 3449.22 0
55 37605.90 0
56 117369.52 1
57 100598.98 0
58 17802.42 0
59 91094.46 0
60 120853.83 1
61 107124.17 0
62 59207.41 1
63 136869.31 0
64 113308.29 0
65 159334.93 0
66 20393.44 0
67 158590.25 0
68 23101.13 0
69 112585.19 0
70 119377.36 0
71 166472.81 0
72 171552.02 0
73 157474.10 0
74 13549.24 0
75 196526.55 1
76 84419.78 0
77 24991.92 0
78 191608.97 0
79 2988.28 0
80 99595.67 0
81 53445.17 1
82 115146.40 1
83 151325.24 0
84 51695.41 0
85 96833.00 0
86 34047.54 0
87 1914.41 0
88 49337.84 0
89 179436.60 0
90 53667.08 0
91 69384.71 1
92 195192.40 0
93 29179.52 0
94 167773.55 0
95 96270.64 0
96 101699.77 0
97 42085.58 1
98 92888.52 1
99 38190.78 0
100 96444.88 0
