Id Age Tenure Balance NumOfProducts Has IsActiveMember
51 46 8.0 0.00 2 1 1
52 37 6.0 125489.40 1 1 0
53 47 2.0 0.00 2 1 1
54 45 6.0 155417.61 1 0 1
55 29 4.0 0.00 2 1 1
56 46 NaN 85216.61 1 1 0
57 25 1.0 0.00 1 1 0
58 37 6.0 0.00 1 1 1
59 38 4.0 113607.47 1 1 0
60 33 9.0 104552.72 1 1 1
61 44 9.0 0.00 2 1 0
62 44 9.0 0.00 1 0 0
63 33 2.0 126524.11 1 1 0
64 34 NaN 117593.48 2 0 0
65 33 4.0 83199.05 1 0 0
66 35 4.0 125920.98 1 1 1
67 48 5.0 118469.38 1 1 1
68 40 8.0 153537.57 2 0 0
69 41 6.0 0.00 1 0 1
70 42 7.0 151027.05 2 1 0
71 34 3.0 144751.81 1 0 0
72 26 4.0 155739.76 1 1 0
73 27 7.0 0.00 2 1 1
74 33 7.0 122531.86 1 1 0
75 50 1.0 113957.01 2 1 0
76 33 7.0 103377.81 1 1 0
77 32 9.0 0.00 2 1 1
78 40 9.0 93017.47 2 1 0
79 58 1.0 90022.85 1 0 1
80 35 6.0 74371.49 1 0 0
81 42 3.0 152039.70 1 1 1
82 46 7.0 137145.12 1 1 0
83 40 4.0 0.00 1 0 0
84 35 7.0 90602.42 2 1 1
85 36 NaN 123841.49 2 1 0
86 47 1.0 183579.54 2 0 1
87 30 8.0 180307.73 2 1 1
88 30 4.0 0.00 2 1 0
89 28 4.0 0.00 2 1 1
90 33 3.0 35016.60 1 1 0
91 53 4.0 88381.21 1 1 0
92 36 2.0 0.00 1 1 0
93 28 7.0 155060.41 1 1 0
94 29 2.0 0.00 2 0 0
95 39 5.0 0.00 2 1 0
96 35 10.0 57369.61 1 1 1
97 36 7.0 0.00 1 0 1
98 42 3.0 75075.31 2 1 0
99 28 NaN 130142.79 1 1 0
100 39 10.0 129845.26 1 1 1
