Id Tenure Balance NumOfProducts Has IsActiveMember
1 1.0 83807.86 1 0 1
2 8.0 159660.80 3 1 0
3 1.0 0.00 2 0 0
4 2.0 125510.82 1 1 1
5 8.0 113755.78 2 1 0
6 7.0 0.00 2 1 1
7 4.0 115046.74 4 1 0
8 4.0 142051.07 2 0 1
9 2.0 134603.88 1 1 1
10 6.0 102016.72 2 0 0
11 3.0 0.00 2 1 0
12 10.0 0.00 2 1 0
13 5.0 0.00 2 0 0
14 7.0 0.00 2 1 1
15 3.0 143129.41 2 0 1
16 1.0 132602.88 1 1 0
17 9.0 0.00 2 1 1
18 6.0 0.00 1 0 0
19 6.0 0.00 2 1 1
20 8.0 0.00 2 1 1
21 8.0 0.00 2 1 0
22 4.0 0.00 1 1 0
23 3.0 0.00 2 0 1
24 5.0 0.00 1 1 1
25 3.0 0.00 2 0 1
26 2.0 136815.64 1 1 1
27 9.0 0.00 2 0 0
28 3.0 141349.43 1 1 1
29 0.0 59697.17 2 1 1
30 NaN 0.00 3 1 0
31 7.0 85311.70 1 0 1
32 9.0 110112.54 2 0 0
33 6.0 0.00 2 1 1
34 9.0 0.00 2 1 1
35 0.0 134264.04 1 1 0
36 3.0 145260.23 1 0 1
37 7.0 76548.60 1 0 1
38 7.0 0.00 1 1 1
39 6.0 70349.48 2 0 1
40 4.0 0.00 1 1 0
41 8.0 122522.32 1 0 0
42 2.0 117419.35 1 1 1
43 2.0 131394.56 1 0 0
44 5.0 155931.11 1 1 1
45 4.0 109421.13 2 1 1
46 9.0 112045.67 1 1 1
47 9.0 137843.80 1 1 1
48 NaN 103391.38 1 0 1
49 2.0 103769.22 2 1 0
50 2.0 0.00 1 1 1
